药品名称,适应症,参考价
复方氨酚烷胺胶囊,滋阴潜阳，除烦安神。用于更年...,￥7.8
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥12
对乙酰氨基酚栓,用于儿童普通感冒或流行性感冒...,￥10
肿痛安胶囊,祛风化痰，行瘀散结，消肿定痛...,￥20.4
精氨酸布洛芬颗粒,牙痛、痛经、因创伤引起的疼痛...,￥20.4
氨酚伪麻片(Ⅱ),用于普通感冒或流行性感冒引起...,￥9.7
酮咯酸氨丁三醇片,本品适用于需要阿片水平镇痛药...,
和兴白花油,头晕头痛、伤风鼻塞、感冒不适...,￥12
麝香镇痛膏,散寒，活血，镇痛。用于风湿性...,￥5.2
阿司匹林维生素C泡腾片,用于缓解感冒或流感引起的发热...,
对乙酰氨基酚凝胶,用于缓解感冒引起的发热，头痛...,
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,
三七片,用于外伤出血，跌扑肿痛。,
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥18
小活络丸,祛风除湿，活络通痹。用于风寒...,￥13.8
三七胶囊,散瘀止血，消肿定痛。用于外伤...,￥17.5
四季平安油,用于头晕头痛，腰酸背痛，风火...,￥5.5
元胡止痛片,理气，活血，止痛。用于行经腹...,￥5
元胡止痛片,理气，活血，止痛。用于行经腹...,
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,
萘普生片,用于治疗风湿性和类风湿性关节...,
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,￥18
清火栀麦胶囊,用于咽喉肿痛，发热，牙痛，目...,￥8
吸收性明胶海绵,对创面渗血有止血作用，用于创...,
萘普生颗粒,用于治疗风湿性和类风湿性关节...,
三七片,用于外伤出血，跌扑肿痛。,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥11
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
三七胶囊,散瘀止血，消肿定痛。用于外伤...,￥7
复方氨酚烷胺胶囊,用于缓解普通感冒或流行性感冒...,￥8
阿咖酚散,用于感冒或流感引起的发热、头...,
烫疮油,清热止痛，解毒消肿，生肌；用...,￥48.2
甲硝唑芬布芬胶囊,溃疡性牙龈炎、牙周炎、齿龈脓...,￥17.6
对乙酰氨基酚颗粒,解热镇痛类药，用于发热、头痛...,
双氯芬酸钠搽剂,用于缓解肌肉、软组织和关节的...,￥15
三七片,用于外伤出血，跌扑肿痛。,
辣椒颠茄贴膏,用于关节疼痛、骨骼肌疼痛以及...,
辣椒颠茄贴膏,用于关节疼痛、骨骼肌疼痛以及...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,用于儿童普通感冒或流行性感冒...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥15
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
三七片,用于外伤出血，跌扑肿痛。,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
对乙酰氨基酚颗粒,解热镇痛类药，用于发热、头痛...,
阿司匹林片,1、用于发热、头痛、神经痛、...,
阿咖片,用于感冒或流感引起的发热，头...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
普菲尼德,用于各种骨骼肌损伤的急慢性软...,
对乙酰氨基酚颗粒,用于普通感冒或流行性感冒引起...,
酮洛芬凝胶,用于各种骨骼肌损伤的急慢性软...,
木瓜丸,祛风散寒，活络止痛。用于风寒...,￥12.2
黄连上清丸,散风清热，泻火止痛。用于风热...,￥13
布洛芬缓释片,用于减轻中度疼痛，如关节痛、...,￥8.4
接骨七厘片,活血化瘀，接骨止痛。用于跌打...,￥25
三七胶囊,散瘀止血，消肿定痛。用于外伤...,
辣椒颠茄贴膏,用于关节疼痛、骨骼肌疼痛以及...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥35
大活络丸,祛风，舒筋，活络，除湿。用于...,￥32.9
十香止痛丸,疏气解郁，散寒止痛。用于气滞...,
乳酸依沙吖啶溶液,用于外伤创面及感染创面的消毒...,
复方对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
萘普生钠片,本品为非甾体抗炎药。适用于缓...,
茶苯海明片,用于防治晕动病，如晕车、晕船...,
散寒活络丸,追风散寒，舒筋活络。用于风寒...,￥24
骨刺胶囊,散风邪，祛寒湿，舒筋活血，通...,￥17.6
氨酚咖匹林片,解热镇痛药。用于发热、头痛、...,￥26
独一味软胶囊,活血止痛、化瘀止血，用于多种...,￥11
美洛昔康片,本品适用于类风湿性关节炎和疼...,￥17.5
骨肽注射液,适用于促进骨折愈合。,￥5.6
尼美舒利分散片,本品适用于类风湿性关节炎和骨...,￥9.5
萘普生栓,用于治疗风湿性和类风湿性关节...,￥13.5
止痛消炎软膏,消肿止痛,￥8.6
小儿氨酚黄那敏颗粒,用于缓解儿童普通感冒及流行性...,￥9.2
复方鱼肝油氧化锌软膏,本品用于急慢性皮炎、湿疹、冻...,￥16.1
洛索洛芬钠胶囊,类风湿性关节炎、骨性关节炎、...,￥21.8
盐酸纳洛酮注射液,本品是目前临床应用最广的阿片...,
盐酸异丙嗪注射液,（1）皮肤粘膜的过敏：适用于...,
依托咪酯注射液,静脉全麻诱导药或麻醉辅助药。,
甲紫溶液,面部有溃疡性损害时应慎用，不...,￥2.4
布洛芬片,本品为非甾体抗炎药。适用于 1...,￥2.5
洛索洛芬钠片,类风湿性关节炎、骨性关节炎、...,￥8.9
去痛片,本品用于感冒引起的发热、关节...,￥4
氨酚伪麻那敏口服溶液,适用于缓解普通感冒及流行性感...,￥39
藤黄健骨丸,补肾，活血，止痛。用于肥大性...,￥28
复方乙酰水杨酸片,水杨酸类镇痛、消炎、解热、抗...,
腰痛片,强腰补肾，活血止痛。用于肾虚...,￥12
秋水仙碱片,治疗痛风性关节炎的急性发作，...,￥9.9
红茴香注射液,消肿散瘀、活血止痛。用于腰肌...,
去痛片,本品用于感冒引起的发热、关节...,￥4
注射用氯诺昔康,急性中度手术后疼痛以及与急性...,￥18
安乃近片,用于高热时的解热，也可用于头...,￥17.4
对乙酰氨基酚糖浆,用于普通感冒或流行性感冒引起...,
肌醇烟酸酯软膏,选择性地使病变部位和受寒冷刺...,
松节油搽剂,皮肤刺激药。用于肌肉痛或关节...,
吡罗昔康片,用于缓解各种关节炎及软组织病...,￥6
骨友灵搽剂,活血化瘀，消肿止痛。用于瘀血...,￥70
布洛芬片,用于缓解轻至中度疼痛如头痛、...,
盐酸地芬尼多片,用于防治多种原因或疾病引起的...,￥7.9
夏天无注射液,通络，活血，止痛。用于高血压...,￥20
复方乙酰水杨酸片,水杨酸类镇痛、消炎、解热、抗...,￥3.8
乳酸左氧氟沙星氯化钠注射液,本品适用于敏感细菌所引起的下...,
复方对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
妙济丸,补益肝肾，祛湿通络，活血止痛...,
解痉镇痛酊,活血通经、止痛。用于治疗软组...,
腰椎痹痛丸,壮筋骨，益气血，舒筋活络，祛...,￥550
虎杖伤痛酊,中医：活血消肿，止痛。用于跌...,￥42
复方对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
阿司匹林肠溶胶囊,本品可以抑制血小板聚集，防止...,
阿西美辛缓释胶囊,（1）类风湿性关节炎、骨关节...,￥24.6
阿司匹林锌胶囊,用于普通感冒或流行性感冒引起...,
尼美舒利胶囊,本品属非甾体类抗炎药，具有镇...,￥7.5
对乙酰氨基酚糖浆,适用于感冒引起的发热、头痛及...,
新复方大青叶片,清瘟，消炎，解热。用于伤风感...,￥49.2
布洛芬糖浆,用于感冒或流感引起的发热、头...,￥9.4
麝香追风膏,祛风散寒，活血止痛。用于风湿...,
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
舒筋活血定痛散,舒筋活血，散瘀止痛。用于跌打...,
乳酸依沙吖啶溶液,用于小面积、轻度外伤创面及感...,
乌贝散,制酸止痛。用于肝胃不和所致的...,
牙痛药水,止痛杀菌，防蛀。用于风火牙痛...,
神农镇痛膏,活血散瘀，消肿止痛。用于跌打...,
对乙酰氨基酚胶囊,用于小儿普通感冒或流行性感冒...,
水杨酸甲酯气雾剂,用于软组织损伤的应急治疗，如...,
抗骨增生片,补肾，活血，止痛。用于肥大性...,
附桂骨痛胶囊,用于阳虚寒湿型颈椎及膝关节增...,￥48
三七胶囊,散瘀止血，消肿定痛。用于外伤...,￥5.8
麝香追风膏,祛风散寒，活血止痛。用于风湿...,
盐酸苯海拉明片,用于皮肤黏膜的过敏，如荨麻疹...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
芎菊上清丸,清热解毒，散风止痛。用于外感...,￥28
烧伤喷雾剂,清热解毒，消肿止痛。用于轻度...,
关通舒口服液,祛风除湿，散寒通络。用于风寒...,￥68.6
田七跌打风湿软膏,活血祛瘀，舒筋通络，消肿止痛...,
丁硼乳膏,有消炎止痛作用。适用于急慢性...,
驱风油,活血止痛。用于关节痛。,
红药贴膏,祛瘀生新，活血止痛。用于跌打...,
奥沙普秦肠溶片,适用于风湿关节炎、类风漫性关...,￥16
复方对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
复方对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
氨咖黄敏胶囊,适用于缓解普通感冒及流行性感...,￥2.5
双水杨酯片,"用于缓解各类疼痛,包括头痛、...",
萘普生片,用于治疗风湿性和类风湿性关节...,
尼美舒利分散片,本品为非甾体抗炎药，仅在至少...,￥11.4
萘普生片,用于治疗风湿性和类风湿性关节...,
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,￥15.8
野苏颗粒,理气调中，和胃止痛。用于气滞...,
外用万应膏,活血镇痛。用于跌打损伤，负重...,
三七活血丸,通络散瘀。用于跌打损伤。,
驱风油,活血止痛。用于关节痛。,
王回回狗皮膏,祛风散寒，活血止痛。用于风寒...,
伤乐气雾剂,活血，舒络，消肿。用于跌打、...,
浓替硝唑含漱液,用于厌氧菌感染引起的牙龈炎、...,
乙水杨胺片,解热镇痛类药品。用于缓解轻至...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,
去痛片,本品用于感冒引起的发热、关节...,￥11.2
双氯芬酸钠肠溶片,用于：①缓解类风湿关节炎、骨...,￥4.1
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
阿咖酚散,用于感冒或流感引起的发热、头...,
洛索洛芬钠胶囊,1.下述疾患及症状的消炎和镇痛...,￥8.8
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
萘普生片,用于治疗风湿性和类风湿性关节...,
止痛风湿丸,祛风除湿，活血止痛。用于四肢...,￥30
复方天麻益阴酒,滋养肝肾，益气和血。用于肝肾...,
冻疮消酊,活血祛瘀，止痒止痛，消肿。用...,
三两半药酒,益气活血，祛风痛络。用于气血...,
麝香舒活精,活血散瘀，消肿止痛。用于运动...,
氨酚伪麻那敏片(II),本品用于普通感冒及流行性感冒...,￥7.6
酮洛芬缓释胶囊,用于各种关节炎：类风湿关节炎...,￥80.6
酮洛芬凝胶,用于创伤性损害（扭伤、腱炎、...,
双氯芬酸钠缓释片(Ⅰ),1.急慢性风湿性、急慢性关节炎...,￥14.7
双氯芬酸钠栓,消炎镇痛类药。用于类风湿性关...,￥5.5
乙水杨胺片,用于缓解轻至中度疼痛，如头痛...,
桂附地黄丸,温补肾阳。用于肾阳不足，腰膝...,
氨咖黄敏胶囊,适用于缓解普通感冒及流行性感...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
狗皮膏,祛风散寒，活血止痛。用于风寒...,
跌打按摩药膏,活血散瘀，止痛解痉。用于急、...,
大风丸,舒筋活血，补虚祛风。用于腰腿...,
风痛片,祛风除湿，舒筋活血。用于风湿...,￥27.6
硼酸氧化锌冰片软膏,用于慢性皮炎，也可用于浅表创...,￥40.8
盐酸曲马多栓,用于癌症、术后、骨折、创伤、...,
酮洛芬贴片,主要用于类风湿性关节炎、骨关...,￥15
尼美舒利分散片,本品为非甾体抗炎药，仅在至少...,￥13.2
清瘟解毒片,清瘟解毒。用于时疫感冒，发热...,￥15.5
元胡止痛片,理气，活血，止痛。用于行经腹...,
止痛水,镇静止痛。用于头痛、牙痛、关...,
茶苯海明片,防治晕动病，适用于防治晕动时...,
克洛己新片,本品适用于治疗因敏感菌引起的...,￥18
尼美舒利分散片,本品为非甾体抗炎药，仅在至少...,￥13.4
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥12.4
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥13
酒石酸布托啡诺注射液,用于治疗各种癌性疼痛、手术后...,
三黄珍珠膏,解毒消肿，去腐生肌，止痛。适...,￥26.2
对乙酰氨基酚栓,用于普通感冒或流行性感冒引起...,
酮洛芬胶囊,用于缓解轻至中度疼痛，如关节...,
舒筋丸,祛风除湿，舒筋活血。用于受风...,￥34.5
阿司匹林缓释片,本品对血小板聚集有抑制作...,￥14
三水杨酸胆碱镁片,用于风湿性关节炎、骨关节炎及...,
蓝花药,清热解毒，消疳。用于急慢性扁...,
注射用盐酸丙帕他莫,在临床急需静脉给药治疗疼痛或...,
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥2.5
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
来氟米特片,1适用于成人类风湿关节炎，有...,￥33
小儿氨酚黄那敏颗粒,用于缓解儿童普通感冒及流行性...,￥11
萘普生片,用于治疗风湿性和类风湿性关节...,￥4.8
萘普生片,用于治疗风湿性和类风湿性关节...,
对乙酰氨基酚栓,用于普通感冒或流行性感冒引起...,
萘普生片,用于治疗风湿性和类风湿性关节...,
萘普生缓释片,主要治疗类风湿性关节炎、幼年...,
根痛平丸,活血，通络，止痛。用于风寒阻...,
活络消痛胶囊,通经活络，舒筋止痛。用于风寒...,￥28
双氯芬酸二乙胺凝胶,本品适用于缓解局部的疼痛及炎...,￥12.9
七厘胶囊,化瘀消肿，止痛止血。用于跌打...,￥32.6
骨折挫伤胶囊,舒筋活络，接骨止痛。用于跌打...,￥13
三七片,用于外伤出血，跌扑肿痛。,
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,
解热止痛散,用于头痛、关节痛、神经痛、牙...,￥9.9
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
跌打丸,活血散瘀，消肿止痛。用于跌打...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
风湿骨康片,祛风散寒，除湿止痛。用于风湿...,￥127.5
人工牛黄甲硝唑胶囊,用于急性智齿冠周炎、局部牙槽...,￥10
三两半药酒,益气活血，祛风痛络。用于气血...,
尼美舒利颗粒,本品为非甾体抗炎药，仅在至少...,￥10.4
保泰松片,主要用于治疗风湿性关节炎、类...,￥6.1
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
布洛芬口服溶液,用于儿童减轻中度疼痛，如关节...,￥11
姜颗粒,暖脾胃，散风寒。用于胃寒，心...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
萘普生片,用于治疗风湿性和类风湿性关节...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
壮骨关节胶囊,补益肝肾，养血活血，舒筋活络...,￥29.2
乙水杨胺片,用于缓解轻至中度疼痛，如头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥4.7
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
根痛平胶囊,活血、通络、止痛；用于风寒阻...,
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥9
复方水杨酸甲酯苯海拉明喷雾剂,用于肌肉痛、关节痛、腰腿痛、...,
三七片,用于外伤出血，跌扑肿痛。,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥5
萘普生片,用于治疗风湿性和类风湿性关节...,
跌打丸,活血散瘀，消肿止痛。用于跌打...,
四季平安油,用于头晕头痛，腰酸背痛，风火...,
三七片,用于外伤出血，跌扑肿痛。,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
萘普生片,用于治疗风湿性和类风湿性关节...,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
双氯芬酸钾胶囊,本品适用于下列急性疼痛的短期...,￥11.3
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥5
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
萘普生片,用于治疗风湿性和类风湿性关节...,
萘普生片,用于治疗风湿性和类风湿性关节...,
参芪丸,补益元气。用于气虚体弱、四肢...,
天麻片,祛风除湿，舒筋通络，活血止痛...,
山楂内消丸,开胃化滞，破气消食。用于倒饱...,
清火片,清热泻火，通便。用于咽喉肿痛...,
天麻胶囊,祛风除湿，舒筋通络，活血止痛...,
注射用盐酸丙帕他莫,主要用于疼痛的对症治疗，尤其...,
双氯芬酸钠缓释胶囊(Ⅰ),1.缓解类风湿关节炎、骨关节炎...,￥13
甲硝唑含片,用于牙龈炎、牙周炎、冠周炎。,￥40
藤黄健骨丸,补肾，活血，止痛。用于肥大性...,￥7.4
舒筋活血片,适应症：舒筋活络，活血散瘀。...,￥24
尼美舒利片,本品为非甾体抗炎药，仅在至少...,￥10.5
狗皮膏(改进型),祛风散寒，舒筋活血，止痛。用...,￥22
三七血伤宁胶囊,止血镇痛，祛瘀生新。用于瘀血...,￥23.9
尼美舒利颗粒,本品为非甾体抗炎药，仅在至少...,￥8.8
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
氨酚麻美口服溶液,适用于缓解儿童普通感冒及流行...,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
清眩丸,散风清热。用于风热头晕目眩，...,
祛风骨痛巴布膏,祛风散寒，舒筋活血，消肿止痛...,￥27
石辛含片,清胃泻火，消肿止痛。用于急性...,￥33
麝香祛风湿油,驱风活血、镇痛消肿。用于风湿...,
醋氯芬酸胶囊,骨关节炎类风湿性关节炎、强制...,￥32.2
骨筋丸胶囊,活血化瘀，舒筋通络，祛风止痛...,￥55.9
祖师麻片,祛风除湿，活血止痛。用于风湿...,
非普拉宗片,适用于风湿性关节炎、类风湿性...,￥15.8
奥硝唑氯化钠注射液,1  用于治疗由脆弱拟杆菌、狄氏...,￥28
痹痛宁胶囊,祛风除湿，消肿定痛。用于寒湿...,￥18
人工牛黄甲硝唑胶囊,用于急性智齿关周炎、局部牙槽...,￥7
活络消痛片,通经活络，舒筋止痛。用于风寒...,￥7.9
吲哚美辛栓,用于风湿性关节炎、类风湿性关...,￥4.2
樟脑水合氯醛酊,用于龋齿所致疼痛的暂时止痛。,￥4.4
走川骨刺酊,活血祛瘀通络止痛用于瘀血阻滞...,￥20.5
清热神芎丸,通便泻火，消肿止痛。用于牙痛...,￥10.4
尼美舒利口腔崩解片,"本品为非甾体抗炎药,具有抗炎...",￥12
尼美舒利缓释片,本品为非甾体抗炎药，仅在至少...,￥36.2
复方水杨酸甲酯巴布膏,消炎、止痛、消肿、化瘀.主治:...,￥38
美索巴莫分散片,肌肉松弛药。用于急性肌肉骨骼...,￥34
复方氨基比林注射液,本品具有解热、镇痛及抗炎作用...,
萘普生钠注射液,本品用于各种原因引起的发热及...,
泰尔牌膳通片,美容(祛痤疮)、改善胃肠道功能(...,￥105
阿司匹林肠溶片,抑制血小板聚成，防止血栓形成...,￥8
蛤蚧大补胶囊,补血益气，健脾暖胃，祛风湿，...,￥11.2
活血止痛胶囊,活血散瘀，消肿止痛。用于跌打...,￥36.3
洛索洛芬钠片,类风湿性关节炎、骨性关节炎、...,￥12.5
麝香接骨胶囊,散瘀止痛，续筋接骨。用于跌打...,￥14
伸筋丹胶囊,舒筋通络，活血祛瘀，消肿止痛...,￥9
尼美舒利分散片,本品为非甾体抗炎药，仅在至少...,￥23.9
尼美舒利胶囊,本品属非甾体类抗炎药，具有镇...,￥13.3
注射用骨肽,用于促进骨折愈合，也可用于增...,
安乃近,用于高热时的解热，也可用于头...,
伊痛舒注射液,祛风散寒胜湿，活血祛瘀镇痛。...,￥15
跌打七厘片,活血，散瘀，消肿，止痛。用于...,￥21.2
盐酸曲马多缓释片,用于癌症疼痛、骨折或术后疼痛...,
复方氯唑沙宗胶囊,各种急性骨骼肌损伤。,￥18.2
氨酚伪麻那敏片(Ⅰ),用于缓解普通感冒及流行性感冒...,￥7.8
二氟尼柳片,适用于类风湿性关节炎、骨关节...,
双氯芬酸钠缓释胶囊(I),1.缓解类风湿关节炎、骨关节炎...,￥21
对乙酰氨基酚泡腾颗粒,用于小儿普通感冒或流行性感冒...,￥7.1
阿司匹林缓释片,"（1）镇痛,解热（2）抗炎,抗风...",￥7
吲哚美辛肠溶片,用于①关节炎，可缓解疼痛和肿...,￥2.8
抗骨增生片,补肾，活血，止痛。用于肥大性...,￥11.5
尼美舒利分散片,本品为非甾体抗炎药，仅在至少...,￥16.2
酚美愈伪麻分散片,用于缓解因各种感冒引起的发热...,￥10.4
精制狗皮膏,舒筋、活血、散寒、止痛。用于...,￥18.8
强筋健骨丸,祛风除痰，强筋健骨。用于左瘫...,￥15.9
消瘀康胶囊,活血化瘀，消肿止痛。用于治疗...,￥67.3
秦皮接骨胶囊,活血散瘀，疗伤接骨，止痛。用...,￥20.9
痛舒片,活血化瘀，舒筋活络，消肿止痛...,￥37.4
麝香风湿胶囊,祛风湿，活血止痛。用于风湿性...,￥39
盐酸左布比卡因注射液,主要用于外科硬膜外腔阻滞麻醉...,
氨酚伪麻那敏片(Ⅲ),用于由感冒或流感引起的发热、...,
双氯芬酸钠缓释胶囊(Ⅲ),1.缓解类风湿关节炎、骨关节炎...,
尼美舒利胶囊,本品属非甾体类抗炎药，具有镇...,￥14
萘丁美酮片,类风湿性关节炎、骨关节炎。,￥31.6
正清风痛宁片,祛风除湿，活血通络，消肿止痛...,￥5
骨质宁搽剂,"活血化瘀,消肿止痛.用于骨质增...",￥35
舒筋活血片,适应症：舒筋活络，活血散瘀。...,
久芝清心丸,清热，泻火，通便。用于内热壅...,￥10.4
少林正骨精,活血祛瘀，消肿止痛，祛风散寒...,￥59.8
人工虎骨粉,具有健骨作用，用于腰背疼痛，...,
阿司匹林肠溶片,抑制血小板聚成，防止血栓形成...,￥2.6
少林风湿跌打膏,散瘀活血，舒筋止痛，祛风散寒...,￥15.8
人工牛黄甲硝唑胶囊,用于急性智齿冠周炎、局部牙槽...,￥13
