中药名,药用部位,药材性状,性味归经,功效与作用,临床应用,药理研究,主要成分|化学成分,使用禁忌,药方
['青葙子'],[],['呈扁圆形，少数呈圆肾形，中心较边缘稍厚，直径1～1.5毫米，厚约0.5毫米。表面平滑，黑色或红黑色，光亮，中间微隆起，侧边微凹处有种脐。种皮薄而脆，易破碎，内面白色。无臭，无味。'],['性微寒，味苦。归肝经'],['清肝、明日、退翳。属清热药下分类的清热泻火药。'],['用量9～15克，内服煎汤，治疗肝热目赤、眼生翳膜、视物昏花、肝炎眩晕。'],['降眼压；降血压；抑菌；缩短家兔血浆再钙化时间。青果水提液具抗乙肝表面抗原(HBsAg)作用；青果能兴奋唾液腺、增加唾液分泌从而起助消化作用。'],['含青葙子油脂、脂肪油和丰富的硝酸钾、烟酸。'],['肝虚目疾不宜单用，瞳孔散大、青光眼患者禁服。'],['①治头昏痛伴有眼噱、眉棱骨痛：青葙子9克，平顶莲蓬5个。水煎服。(江西《草药手册》)②治肝阳亢盛型高血压：青葙子、草决明、野菊花各10克，夏枯草、大蓟各15克。水煎服。(《四川中药志》 1979年)③治视物不清：青葙子6克，夜明砂60克。蒸鸡肝或猪肝服。(《四川中药志》1960年)④治暴发火眼，目赤涩痛：青葙子、黄芩、龙胆草各9克，菊花12克，生地黄15克。水煎服。(《青岛中草药手册》)⑤治白带，月经过多：青葙子18克，响铃草15克。配猪瘦肉炖服。(《西昌中草药》)⑥治风热泪眼：青葙子15克，鸡肝炖服。最近更新时间：2018-05-13']
['青果'],['橄榄科植物橄榄Canarium album Raeusch.的成熟果实。'],['纺锤形，两端钝尖。表面棕黄色或黑褐色，有不规则皱纹。果肉灰棕色或棕褐色，质硬。果核梭形，暗红棕色，具纵棱，内分3室，各有种子1粒。无臭，果肉味涩，久嚼微甜。'],['性平，味甘、酸。归肺经、胃经。'],['清热、利咽、生津、解毒。属清热药下分类的清热解毒药。'],['用量4.5~9克，煎服。用治咽喉肿痛、咳嗽、烦渴、鱼蟹中毒等症。临床用治细菌性痢疾，雾化吸入疗法治疗咽喉炎，其复方外敷治疗口疮、皮肤病，复方口服治疗咽痒干咳等。'],['青果水提液具抗乙肝表面抗原(HBsAg)作用；青果能兴奋唾液腺、增加唾液分泌从而起助消化作用。'],['含蛋白质、脂肪、碳水化合物、钙、磷、铁、复合维生素，并含滨蒿内酯、没食子酸等。种子含挥发油，油中含香树脂醇等；种仁含多种脂肪酸，油酸是主要成分，还含麝香草酚、香芹酚、己酸、辛酸、癸酸、月桂酸、肉豆蔻酸、硬脂酸、棕榈酸、亚麻酸和十八碳二烯酸。'],['阴虚火旺，咯痰带血者禁用。'],['①治时行风火喉捅，喉间红肿：橄榄，生芦菔。水煎服。(《王氏医案》青龙白虎汤)②治咽喉肿痛，声嘶音哑，口舌干燥，吞咽不利：青果(去核)，桔梗、寒水石、薄荷各240克，青黛、硼砂各1240克，甘草620克，冰片36克。共研末，为蜜丸。每服3克，日服2次。(《四川中药志》1982年)③治孕妇胎动心烦，口渴咽干：青果适量。置猪肚内，炖熟，食肉喝汤。(《四川中药志》1982年)④治酒伤昏闷：青果肉十个，煎汤饮。(《本草汇言》)⑤治河豚、鱼、鳖诸毒、诸鱼骨鲠：青果捣汁，或煎浓汤饮。(《随息居饮食谱》)最近更新时间：2018-05-13']
['青皮'],['芸香科植物橘Citrus reticulata Blanco及其栽培变种的干燥幼果或未成熟果实的果皮。'],['四花青皮：果皮剖成4裂片，裂片长椭圆形，长4～6厘米，厚0.1～0.2厘米。外表面灰绿色或黑绿色，密生多数油室；内表面类白色或黄白色，粗糙，附黄白色或黄棕色小筋络。质稍硬，易折断，断面外缘有油室1～2列。气香，味苦、辛。个青皮：呈类球形，直径0.5～2厘米。表面灰绿色或黑绿色，微粗糙，有细密凹下的油室，顶端有稍突起的柱基，基部有圆形果梗痕。质硬，断面果皮黄白色或淡黄棕色.厚0.1～0.2厘米，外缘有油室1～2列。瓤囊8～10瓣，淡棕色。气清香，味酸、苦、辛。'],['性温，味苦、辛。归肝经、胆经、胃经。'],['疏肝破气，消积化滞。属理气药。'],['用量3～10克，煎汤内服，或入丸、散。用治胸胁胀痛，疝气疼痛，乳癖，乳痈，食积气滞，脘腹胀痛。'],['调整胃肠功能；祛痰平喘；利胆；保肝；抗休克；对心肌的兴奋性、传导性、收缩性和自律性均有正性作用。'],['主要含橙皮苷、左旋辛弗林乙酸盐、天冬氨酸、胱氨酸、亮氨酸、脯氨酸等。茶枝柑的干燥成熟果皮含挥发油3.541%，其中主要成分为柠檬烯。'],['气虚者慎服。'],['①治肝气不和，胁肋刺痛如击如裂者：青皮240克(酒炒)，白芥子、苏子各120克，龙胆草、当归尾各90克。共为末。每早晚各服9克，韭菜煎汤调下。(《本草汇言》引《方脉正宗》)②治因久积忧郁，乳房内有核如指头，不痛不痒，五七年成痈，名乳癌：青皮12克。水一盏半，煎一盏，徐徐服之，日一服，或用酒服。(《纲目》引《丹溪方》)③治乳痈初发：青皮(去瓤)、穿山甲(炒)、白芷、甘草、贝母各2.4克。上为细末。温酒调服。(《疡科选粹》青皮散)④治疝气：青皮(炒黄色)、小茴香(炒黄)。上为末，空心酒调服。(《众妙仙方》偏气方)⑤治心胃久痛不愈，得饮食米汤即痛极者：青皮15克，玄胡索(俱醋拌炒)9克，甘草3克，大枣三个。水煎服。(《本草汇言》引《方脉正宗》)最近更新时间：2018-05-13']
['山芝麻'],['梧桐科植物山芝麻Helicteres angustifoliaL.的根。'],['圆柱形，略扭曲，根头部常带有结节状的茎枝残基；商品多已斩成2～3厘米长的段块。表面灰黄色、灰褐色或灰黑棕色，偶见坚韧的侧根或突起的侧根痕；栓皮粗糙，有纵向或斜向裂纹；老根栓皮呈层状，易剥离，剥离后颜色较深。质坚硬，断面皮部略厚，暗灰黄色或暗棕色，强纤维性，易与木质部剥离，并呈撕裂的麻皮状；木质部黄白色，具细密的放射状纹理。气微香，味苦、微涩。'],['性寒，味苦。归肺经、大肠经。'],['清热解毒，止咳。属清热药下分类的清热解毒药。'],['用量15~30克，鲜品30~60克，煎服；外用适量，以鲜品捣敷或干品研末调敷。用治感冒高烧、扁桃体炎、咽喉炎、腮腺炎、麻疹、咳嗽和疟疾；外用治毒蛇咬伤、外伤出血、痔疮、痈肿疔疮。'],['山芝麻提取物具保肝护心作用，对金黄色葡萄球菌有杀菌作用，对铜绿假单胞菌有抑菌作用。山芝麻甲酯、山芝麻宁酸甲酯、山芝麻宁酸均具有降低转氨酶作用。'],['含葫芦素E、小麦黄素、2，6一二甲氧基对醌、乌苏酸、3-O-p-D-吡喃葡萄糖、谷甾-5-烯-3-β-醇苷和麦角甾醇。山芝麻根含p-谷甾醇( O -sitosterol)、白桦脂酸(betulicacid)、齐墩果酸(oleanolic acid)山芝麻酸甲酯( inethyl helicterate)、山芝麻宁酸甲酯(methylhclictcrilate)、山芝麻宁酸(helicterilic acid)及山芝麻酸内酯(helicactone)等。'],['内服过量易致中毒，本品内服宜慎，中毒时有恶心、腹泻、头晕等反应。孕妇及体弱者忌服。'],['①治外感痧气，阳黄疸，热疟：山芝麻、古羊藤根、两面针等分。共磨粉。每服一钱。开水送下，日服二、三次。(《广西药植图志》)②治风湿痛：山芝麻根二两，黄酒四两。酌加水煎服。(《福建民间草药》)③治毒蛇胶伤：山芝麻根二至三两。用酒煎饮；另搽擦患处。(《岭南草药志》)④治肠炎腹泻：山芝麻干根五钱至一两。水煎服。(广州部队《常用中草药手册)最近更新时间：2018-05-13']
['土人参'],['马齿苋科植物锥花土人参Talinum paniculatum (Jacq.) Gaertn.的根。'],['根圆锥形或长纺锤形，分枝或不分枝。顶端具木质茎残基。表面灰褐色，有纵皱纹及点状突起的须根痕。除去栓皮并经蒸煮后表面为灰黄色半透明状，有点状须根痕及纵皱纹，隐约可见内部纵走的维管束。质坚硬，难折断。折断面，未加工的平坦，已加工的呈角质状，中央常有大空腔。气微，味淡、微有黏滑感。以条粗、干燥、质坚实、断面色乳白者为佳。'],['性平，味甘、淡。归肺经、脾经。'],['补气润肺，止咳，调经。属补虚药下属分类的补气药。'],['内服：煎汤，30～60克。外用：适量，捣敷。主治气虚劳倦，食少，泄泻，肺痨咳血，眩晕，盗汗，自汗，月经不调，产妇乳汁不足'],['初步药理试验，土人参乙醇提取物有镇痛作用。土人参含有的总皂苷还可抗炎、抗菌。皂苷有溶血作用，刺激性强，毒性大。'],['土人参根含甜菜色素(betalain)、草酸(oxalic acid)、芸苔甾醇、β-谷甾醇、豆甾醇等。'],['孕妇忌服。'],['①治虚劳咳嗽：土洋参、隔山撬、通花根、冰糖。炖鸡服。(《四川中药志》)②治劳倦乏力：土人参五钱至一两，或加墨鱼干一只。酒水炖服。(《福建中草药》)③治脾虚泄泻：土人参五钱至一两，大枣五钱。水煎服。(《福建中草药》)最近更新时间：2018-05-12']
['陈皮'],['芸香科植物橘和其栽培变种的成熟果皮。采摘成熟果实，剥取果皮，晒干。常纵剖成整齐3瓣，基部相连。'],['常3瓣相连，形状整齐，厚度均匀。点状油室较大，对光照视，透明清晰。质较柔软。'],['味辛、味苦，性温。归脾经、肺经。'],['理气开胃，燥湿化痰，治脾胃病。属理气药。'],['用量3～9克，煎服。用治胸脘胀满、食少呕吐、咳嗽痰多。'],['调整消化系统；兴奋心脏，使心肌收缩力增强，剂量过大可抑制心率，又可使冠脉流量增加；对高脂饮食引起的动脉硬化有一定的预防作用；平喘祛痰；使肾血管收缩，使尿量减少；抑制离体子宫，高浓度可松弛子宫；增强免疫功能；抗炎；缩短出血及凝血时间；能促进唾液、胃液等消化液分泌和消除肠内积气。'],['含挥发油、橙皮苷、正癸醛、柠檬醛、柠檬烯、辛醇等成分。'],['阴虚燥咳，咯血、吐血或内有实热者慎用。'],['①治感冒咳嗽：陈皮20克，榕树叶30克，枇杷叶(去毛)20克。每日1剂，水煎，分2次服。(《壮族民间用药选编》)②治肺积在右胁下如杯，发为痈：陈皮、苦桔梗、甜葶苈(炒)。上等分为末，煮枣肉为丸如梧桐子大。每服五十丸，米饮下。(《古今医统》枣膏丸)③治胸痹，胸中气塞短气：陈皮1斤，枳实90克，生姜250克。上三味，以水五升，煮取二升。分温再服。(《金匮要略》橘皮枳实生姜汤)④治卒失声，声噎不出：陈皮150克。水三升，煮取一升，去滓，顿服。(《肘后方》)最近更新时间：2018-05-12']
['补骨脂'],['豆科植物补骨脂Psoralea corylifoliaL.的成熟果实。'],['扁圆状肾形，一端略尖，少数有宿萼。长4～5.5毫米，宽2～4毫米，厚约1毫米。表面黑棕色或棕褐色，具微细网纹，在放大镜下可见众多点状凹凸纹理。质较硬脆，剖开后可见果皮与外种皮紧密贴生，厚不及0.5毫米，除去果皮后，可见种脐小点状，位于种子凹侧的上端略下处，合点位于另一端，种脊不明显。外种皮质较硬，灰白色，无胚乳，子叶两枚，肥厚，淡黄色至淡黄棕色，其内外表面常可见白色物质；胚很小，可见。宿萼基部联合，上端5裂，灰黄色，具茸毛，并密布褐色腺点。气芳香特异，味苦微辛。'],['性温，味辛、苦。归肾经、脾经。'],['温肾助阳、纳气、止泻。属补虚药下属分类的补阳药。'],['用量3～10克，外用适量。用治肾阳不足、命门火衰之腰膝冷痛、阳痿、遗精、尿频、脾肾阳虚泄泻、肾不纳气之虚喘、白癜风等。'],['本品能扩张冠状动脉，兴奋心脏，提高心脏功率；能收缩子宫及缩短出血时间，减少出血量；抗早孕和有雌激素样作用；有致光敏作用，内服或外涂皮肤，经日光或紫外线照射，可使局部皮肤色素沉着。此外，尚有抗肿瘤、抗衰老、抑菌、杀虫及雌激素样作用。'],['含香豆精类，主要有补骨脂素及异补骨脂素(白芷素)等，还含有查耳酮类、黄酮类、单萜酚类、花椒毒素、异补骨脂双氢黄酮、补骨脂双氢黄酮、异补骨脂查耳酮、补骨脂乙素、豆固醇、补骨脂酚、亚油等多种成分。'],['阴虚火旺者忌服。'],['①治妊娠腰痛，状不可忍：补骨脂不以多少，瓦上炒令香熟，为末。嚼核桃肉半个，空心，温酒调下6克。(《妇人良方》通气散)②治打坠凝瘀，腰痛通用：补骨脂(炒香，研)、茴香(炒)、辣桂等分。上为末。每服6克，热酒调，食前进。(《直指方》茴香酒)③治妇人血崩：补骨脂(炒黄)、蒲黄(炒)、千年石灰、大黄各等分，为细末。每服9克，空心，用热酒调服。立止。(《重订瑞竹堂经验方》蒲黄散)④治赤白带下：补骨脂、石菖蒲等分(并锉，炒)。上为末。每服6克，用菖蒲浸酒调，温服。(《妇人良方》破故纸散)⑤治牙痛日久，肾虚也：补骨脂60克，青盐15克。炒，研，擦之。(《御药院方》)最近更新时间：2018-05-12']
['诃子'],['使君子科植物诃子Terminalia chebula Retz.的成熟果实。'],['长圆形或卵圆形。表面黄棕色或暗棕色，略具光泽，质坚实。果肉黄棕色或黄褐色。果核浅黄色，粗糙，坚硬。种子狭长纺锤形，种皮黄棕色，子叶白色。无臭，味酸涩后甜。'],['性平，味苦、酸、涩。归肺经、大肠经。'],['涩肠敛肺、降水利咽。属收涩药下属分类的敛肺涩肠药。'],['用量3～9克，内服煎汤。用治久泻久痢、便血脱肛、肺虚喘咳、久嗽不止、咽痛音哑。'],['抗氧化；抑菌；对平滑肌有解痉等作用。药理实验表明，水煎剂对痢疾杆菌、绿脓杆菌、白喉杆菌、金黄色葡萄球菌、大肠杆菌、肺炎球菌、变形杆菌、鼠伤寒杆菌有抑制作用。'],['含鞣质、诃子酸、原诃子酸、并没食子酸、鞣料云实精等成分。'],['凡外邪未解，内有湿热火邪者忌服。'],['①治腹痛渐已，泄下微少：诃子皮(生熟各半)30克，木香15克，黄连、炙甘草各l克。上为细末。每服6克，以白术芍药汤调下。(《保命集》诃子皮散)②治失音不能言语者：诃子(半炮半生)四个，桔梗(半炙半生)30克，甘草(半炙半生)二寸上为细末，每服7.5克，用童子小便一盏，煎至五七沸，温服。(《宣明论方》)③治久咳语声不出：诃子(去核)30克，杏仁(泡，去皮、尖)30克，通草7.5克。上细切，每服12克，水一盏，煨生姜切五片，煎至八分，去滓，食后温服。(《济生方》诃子饮)④治肺损，吐血不止：诃子(生，为末)、白面(炒)。上二味等分。每服6克，糯米粥调下。(《圣济总录》)⑤治臁疮：用诃子不以多少，烧灰为末，香油调搽。(《普济方》)最近更新时间：2018-05-12']
['沙棘'],['胡颓子科植物沙棘Hippophae thamnoides L.的成熟果实。'],['类球形或扁球形，有的数个粘连，单个直径5～8毫米。表面橙黄色或棕红色，皱缩，基部具短小果梗或果梗痕，顶端有残存花柱。果肉油润，质柔软。种子斜卵形，长约4毫米，宽约2毫米，表面褐色，有光泽，中间有1纵沟，种皮较硬，种仁乳白色，有油性。气微，味酸、涩。'],['性温，味酸、涩。归脾经、胃经、肺经、心经。'],['祛痰止咳、消食化滞、活血散瘀。属消食药。'],['用量3～9克，水煎服。用治咳嗽痰多、消化不良、食积腹痛、瘀血经闭、跌打瘀肿。研究还证明，有消炎、抗放射损伤、抗肿瘤、抗衰老、抗风湿和抗病毒等作用。'],['具有降脂作用、止咳祛痰作用；能调整消化功能，促进溃疡愈合；能增强免疫功能；抗肿瘤；改善心血管系统功能；促进造血功能；降低全血黏度；抑制血小板聚集；降低血清总胆固醇，升高血清高密度脂蛋白胆固醇和肝脏总胆固醇；抑制试验性血栓的形成；保肝；抗胃溃疡；抗氧化；抗炎；增加网状内皮系统的吞噬功能；抗过敏。'],['含多种生理活性物质。主要有维生素、异鼠李素、蛋白质、胡萝卜素、氨基酸、酰氨、黄酮类、芹菜素、槲皮素、山柰酚、β-谷固醇、隐黄质、糖类、有机酸、甾酸、脂肪酸、脂类和微量元素。'],['尚不明确。'],['①治咳嗽痰多：沙棘、甘草、白葡萄干、栀子、广木香各等分。为末，加冰片少许。每次1.5～3克，温开水送服。(《内蒙古中草药》)②治胃痛，消化不良，胃溃疡，皮下出血，月经不调：沙棘干品3～9克。水煎服，或将成熟果实砸烂加水煎煮，药汁溶于水后，滤去渣，取滤液浓缩为膏，适量服用。(《沙漠地区药用植物》)③治咽疼痛：沙棘鲜果揉烂，用纱布包，挤压其汁液，加白糖，用温开水冲服。(《沙漠地区药用植物》)④治经闭：天花粉18克，芒硝15克，沙棘、大黄各9克，全蝎6克，山柰1.5克，碱面1.5克。共为细末，每次1.5～3克，温开水送下。(《内蒙古中草药》)最近更新时间：2018-05-12']
['余甘子'],['大戟科植物余甘子Phyllan-thus emblica L.的成熟果实(藏族习用药材)。'],['呈球形或扁球形，直径1.2～2厘米。表面棕褐色或墨绿色，有浅黄色颗粒状突起，具皱纹及不明显的6棱，果梗长约1毫米。外果皮厚1～4毫米，质硬而脆。内果皮黄白色，硬核样，表面略具6棱，背缝线的偏上部有数条筋脉纹，干后可裂成6瓣，种子6，近三棱形，棕色。气微，味酸涩，回甜。'],['性凉，味甘、酸、涩。归肺经、胃经。'],['清热凉血，消食健胃，生津止咳。属消食药。'],['用量3～9克，煎汤服。用治血热血瘀，消化不良，腹胀，咳嗽，喉痛，口干。'],['抑菌；降血脂。'],"['果实含鞣质，其中有葡萄糖没食子鞣甙，没食子酸，并没食子酸，鞣料云实精，原诃子酸，羽扇豆醇，诃黎勒酸，诃子酸，诃子次酸，3,6-二没食子酰葡萄糖，干果含粘酸4%～9%。果皮含没食子酸，油柑酸，余甘子酚。种子含固定油约26%，油中含亚麻酸 8.8%，亚油酸44%，油酸28.4%，硬脂酸2.2%，棕榈酸3.0%，肉豆蔻酸1%等。']",['脾胃虚寒者慎服。'],['①治感冒发热，咳嗽，咽喉痛，口干烦渴，维生素C缺乏症(坏血病)：每用(余甘子)鲜果10～30个，水煎服。(广州部队《常用中草药手册》)②治哮喘：余甘子21个，先煮猪心肺，去浮沫再加余甘子煮熟连汤吃。(《昆明民间常用草药》)③治食积呕吐，腹痛，泄泻：余甘子果5～10枚或盐渍果5～8枚嚼食;或盐浸果液1汤匙，开水冲服。(《福建中草药》)④治高血压病：余甘子鲜果5～8枚生食，日服2次。(《福建药物志》)最近更新时间：2018-05-12']
['猪牙皂'],['豆科植物皂荚Gleditsia sinensisi Lam.的干燥不育果实。'],['呈圆柱形，略扁而弯曲，长5～11厘米，宽0.7～1.5厘米。表面紫棕色或紫褐色，被灰白色蜡质粉霜，擦去后有光泽，并有细小的疣状突起和线状或网状的裂纹。顶端有鸟喙状花柱残基，基部具果梗残痕。质硬而脆，易折断，断面棕黄色，中间疏松，有淡绿色或淡棕黄色的丝状物，偶有发育不全的种子。气微，有刺激性，味先甜而后辣。'],['性温，味辛、咸。有小毒。归肺经、大肠经。'],['开窍祛痰、散结消肿。属化痰止咳平喘药下属分类的温化寒痰药。'],['用量1～1.5克，多入丸散，外用适量，研末吹鼻取嚏或研末调敷患处。用治中风口噤，昏迷不醒，癫痫痰盛，关窍不通，喉痹痰阻，顽痰喘咳，咯痰不爽，大便燥结，外治痈肿。'],['祛痰，抗菌，可杀死丝虫幼虫和溶血。'],['荚果含三萜皂式：皂荚甙，甙甙元为皂荚甙元，皂荚皂甙。尚含蜡酸、二十九烷、正二十七烷、豆固醇、谷固醇、豆甾醇、谷甾醇、鞣质等。'],['体弱者、孕妇及咯血、吐血患者禁用。'],['①治急慢惊风，昏迷不醒：猪牙皂3克，生半夏3克，北细辛0.9克，共碾细末。用灯心蘸药入鼻孔，得嚏为验，不则难疗。用姜汤调少许服之，亦效。(《婴童类萃》通关散)②治风湿手足腰腿疼痛等症：用猪牙皂(不蛀者)1斤。锉碎为细末，用多年米醋，熬成膏子。夹纸摊贴大效。(《普济方》)③治偏头风：猪牙皂(去皮筋)、香白芷、白附子各等分。上为末。每服3克，腊茶调下，右疼右边卧，左疼左边卧，皆疼仰卧，食后服。(《证治准绳》)④治白癜风：猪牙皂120克，草乌头15克，硫黄、白芷各30克。上为末。先用生姜揩患处，如面药一般洗之。(《普济方》)⑤治乳痈：皂荚(烧存性，研细)、蛤粉等分。上研匀。温酒调下1.5克，未散稍加服药，次仍以手揉之。(《卫生家宝产科备要》)最近更新时间：2018-05-12']
['佛手'],['芸香科植物佛手Citrus medicaL.var. sarcodactylis Swingle.的果实。'],['类椭圆形或卵圆形薄片，常皱缩或卷曲。顶端稍宽，基部略窄，有的可见果梗痕。外皮黄绿色或橙黄色，有皱纹及油点。果肉浅黄白色，散有凹凸不平的线状或点状维管束。质硬而脆，受潮后柔韧。气香，味微甜后苦。'],['性温，味辛、苦、酸。归肺经、脾经、肝经。'],['舒肝理气、和胃止痛。属理气药。'],['用量3～9克，煎服。用治肝胃气滞、胸胁胀痛、胃脘痞满、食少呕吐。陈佛手2～3钱，水煎饮，治痰气咳嗽(《闽南民间草药》)。'],['平喘；解痉；中枢抑制；增加心脏的冠脉流量和提高耐缺氧能力，增强毛细血管的抵抗力和减少肾上腺抗坏血酸耗竭；抗炎。醇提取物有解胃肠平滑肌痉挛作用以及增加冠脉血流量和降压作用。醇提取物对离体大鼠肠管有明显抑制作用；且给猫静脉注射有短时间抑制心脏和降压作用；其柠檬油素具对豚鼠离体气管有抗过敏作用。'],"['含挥发油、黄酮、香豆精、多糖、橙皮苷、柠檬油素、6,7-二甲氧基香豆素、香叶木素、香叶木苷、白当归素、5-甲氧基糠醛等成分。']",['阴虚有火，无气滞症状者慎服。'],['①治面寒痛，胃气痛：佛手柑，新瓦焙，为末(黄色)。烧酒送下，每服9克。(《滇南本草》)②治食欲不振：佛手、枳壳、生姜各3克，黄连l克。水煎服，每日1剂。(《全国中草药汇编》)③治肝胃气痛：鲜佛手12～15克，开水冲泡，代茶饮。或佛手、延胡索各6克，水煎服。(《全国中草药汇编》)④治臌胀发肿：佛手120克，人中白90克。共为末。空腹白汤下。(《岭南采药录》)⑤治湿痰咳嗽：佛手、姜半夏各6克，砂糖等分。水煎服。(《全国中草药汇编》)最近更新时间：2018-05-12']
['连翘'],['木犀科植物连翘Forsythia suspensa (Thunb.) Vahl的果实。'],['长卵形至卵形，稍扁，长1.5～2.5厘米，直径0.5～1.3厘米。表面有不规则纵皱纹及多数突起的小斑点，两面各有1条明显的纵沟。顶端锐尖。基部有小果梗或已脱落。“青翘”多不开裂，表面绿褐色，突起的灰白色小斑点较少；质硬；种子多数，黄绿色，细长，一侧有翅。“老翘”自顶端开裂或裂成两瓣，表面黄棕色或红棕色，内表面多浅黄棕色，平滑，具一纵隔。质脆；种子棕色，多已脱落。气微香，味苦。'],['性微寒，味苦。归肺经、心经、小肠经。'],['清热解毒、消肿散结。属清热药下属分类的清热解毒药。'],['用量6～15克，水煎服。用治痈疽、瘰疬、乳痈、丹毒、风热感冒、温病初起、温热入营、高热烦渴、神昏发斑、热淋尿闭。'],['抗微生物；抑制磷酸二酯酶、脂氧酶作用；镇吐；抗肝损伤；抗炎；抑制弹性蛋白酶活性；降低自发性高血压等。'],['含木脂素类、黄酮类、挥发性成分、苯乙烷类、乙基环己醇类、三萜类及香豆素类等化合物。还有桦木酸、连翘苷、牛蒡子苷、罗汉松脂苷、松脂素、连翘醇苷C、连翘醇苷D等。'],['气虚、阴虚发热及脾胃虚热者慎服。'],['①治乳腺炎：连翘15克，蒲公英30克，王不留行9克，野菊花15克。水煎服。(《青岛中草药手册》)②治肠痈：连翘15克，黄芩、栀子各12克，金银花18克。水煎服。(《青岛中草药手册》)③治舌破生疮：连翘15克，黄柏9克，甘草6克，水煎含漱。(《玉樵医令》)④治口臭：连翘为末糊丸，食蒜韭之后，茶吞6～9克，口中浊气化为清气。(《赤水玄珠》内府治口臭方)⑤治过敏性紫癜：连翘12克，红枣30克。水煎服。(《宁夏中草药手册》)最近更新时间：2018-05-12']
['芡实'],['睡莲科植物芡EuryaLe feror Salisb.的成熟种仁。'],['呈类球形，多为破粒，完整者直径5～8毫米。衰面有棕红色内种皮，一端黄白色，约占全体1/3，有凹点状的种脐痕，除去内种皮显白色。质较硬，断面白色，粉性。气微，味淡。'],['性平，味甘、涩。归脾经、肾经。'],['益肾固精，补脾止泻，除湿止带。属收涩药下属分类的固精缩尿止带药。'],['用量内服：煎汤，15～30克；或入丸、散，亦可适量煮粥食。用治遗精滑精，遗尿尿频，脾虚久泻，白浊，带下。'],[],['本品主要含淀粉、蛋白质及脂肪。此外，尚含钙、磷、铁和维生素B1、维生素B2、维生素C、烟酸及胡萝卜素等成分。'],['大小便不利者禁服，食滞不化者慎服。'],['①治膏淋：生山药30克，生芡实18克，生龙骨(捣细)18克，生牡蛎(捣细)18克，大生地(切片)18克，潞党参9克，生杭芍9克。水煎服。(《衷中参西录》膏淋汤)②治黄带下：山药(炒)30克，芡实(炒)30克，黄柏(盐水炒)6克，车前子(酒炒)3克，白果(碎)十枚。水煎服。(《傅青主女科》易黄汤)③治老幼脾肾虚热及久痢：芡实、山药、茯苓、白术、莲肉、薏苡仁、白扁豆各120克，人参30克。俱炒燥为末，白汤调服。(《方脉正宗》)④治风湿足膝疼痛不能步履：山药、莲肉(去心)、芡实(净肉)、茯苓(去皮)、薏苡仁(炒)、糖霜各1斤，粳米二升(炒)。上为末拌匀，用土茯苓煎汤常调服，不过半月即愈。服此药忌茶，以上茯苓汤当茶。(《万氏家传方》)最近更新时间：2018-05-12']
['芥子'],['十字花科植物芥Brassica juncea (L.) Czern.et Cross.的成熟种子。'],['呈球形，直径1～2毫米。表面黄色至棕黄色，少数呈暗红棕色。研碎后加水浸湿，则产生辛烈的特异臭气。'],['性温，味辛。归肺经。'],['温肺豁痰利气、散结通络止痛。属化痰止咳平喘药下分类的温化寒痰药。'],['用量3～9克，内服煎汤或捣汁，治疗寒痰喘咳、胸胁胀痛、痰滞经络、关节麻木疼痛、痰温流注、阴疽肿毒。外用适量，研末调敷。肺虚咳嗽及阴虚火旺者忌服。治感寒无汗：水调芥子未填脐内，以热隔衣熨之，取汗出妙。'],['黑芥子苷本身无刺激作用，但遇水后经芥子酶的作用生成挥发油，主要成分为异硫氰酸烯丙酯，有刺鼻辛辣味及刺激作用，应用于皮肤，有温暖的感觉并使之发红，甚至引起水泡、脓疱。通常将芥子粉除去脂肪油后做成芥子硬膏使用，用作刺激剂，治疗神经痛、风湿痛、胸膜炎及扭伤等。毒性：芥子油或芥子硬膏用于皮肤，如果时间过长或浓度过高，可引起发泡甚至化脓，芥子汕对粘膜刺激性很强，15%溶液滴入兔眼很快引起明显的结膜水肿；小量芥子内服作调味剂，大量引起呕吐，更大量则引起强烈的胃肠道刺激。'],['含黑芥子苷、芥子酶、芥子酸、芥子碱、葡萄糖芜菁芥素、葡萄糖芸苔素、芥酸、新葡萄糖芸苔素等成分。'],['肺虚咳嗽，阴虚火旺者禁服。内服过量可致呕吐。外敷一般不超过10～15毫米，时间过长，易起泡化脓。'],['①治咽喉闭塞，不通甚者：芥子60克，捣细罗为散，以水蜜调为膏，涂于外喉下。干即易之。(《圣惠方》)②治耳聋：芥子捣碎，以人乳和，绵裹纳之。(《千金要方》)③治身体麻木：芥子末，醋调涂之。(《纲目》引《济生秘览》)④治肿及瘰疬：芥子捣末，醋和做饼子，贴。数看，消即止，恐损肉。(《补缺肘后方》)⑤治大人、小儿痈肿：芥子末，汤和敷纸上贴之。(《千金要方》)最近更新时间：2018-05-12']
