药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
川素馨,中药,为木犀科植物川素馨的全株。Jasminum urophyllum Hemsl。全年或夏、秋季采收，除去杂质，切片或段，鲜用或晒干。,参考原文,,祛风除湿。主风湿肢体麻木
穿心草,中药,为龙胆科植物穿心草的全草。Canscora lucidissima （Levl.et Vant.）Hand．－Mazz．[Euphorbia lucidissima Levl．Et Vant．；Euphor-biopsis lucidissima（Levl．Et Vant．） Levl．」。秋、冬季采收，洗净，鲜用或扎把晒干。,穿钱草;顶心风;狮子草;穿心莲,微甘；微苦；性凉。归肺；脾；胃；肝经,清热解毒；理气活血。主肺热咳嗽；肝炎；钩端螺旋体病；胸痛；胃痛；跌打损伤；毒蛇咬伤
穿鱼藤,中药,为山茱萸科植物小梾木的全株。Swidapaucineruis(Hance)Sojak[Cor-nuspaucineruisHance]采收和储藏：全年均可采，洗净鲜用或切段晒干。Swida paucineruis (Hance) Sojak [Cor- nus paucineruis Hance]。全年均可采，洗净鲜用或切段晒干。,乌金草;水杨柳;茶头接筋叶;疏脉山茱萸;大穿鱼草;火烫药;酸皮条,味苦；辛；性凉。,清热解表；解毒疗疮。主感冒头痛；风湿热痹；腹泻；跌打骨折；外伤出血；热毒疮肿；烧烫伤。
串珠耳叶苔,中药,为耳叶苔科植物串珠耳叶苔的植物体。Frullania tamarisci（L.）Dum.subsp.moniliata（Reinw.，B1.et Nees）Kamim.［F.moniliata（Reinw.，B1.et Nees）Mont.］。全年均可采收，洗净，鲜用或晒干。,列胞耳叶苔;地蓬草;树青苔,淡；微苦；凉。,清心；明目。主热病心烦；目赤肿痛；视物模糊
樗白皮,中药,为苦木科植物臭椿的根皮或树干皮。Ailanthus atissima （Mill.）Swingle[Toxicodendron altissima Mill.]。春、夏季剥取根皮或干皮，刮去或不刮去粗皮，切块片或丝，晒干。,樗皮;臭椿皮;苦椿皮。,苦；涩；寒。归胃；大肠；心；肝；脾；肺经,清热燥湿；涩肠；止血；止带；杀虫。主泄泻；痢疾；便血；崩漏；痔疮出血；带下；蛔虫症；疮癣
除虫菊,中药,为菊科植物除虫菊的头状花序和全草。Pyrethrum cinerariifolium Trev. [Chrysanthemum cinerariifolium (Trev.) Vis.]。春播第2年在花完全开放时采收，其质量最好。,参考原文,味苦；性凉。,杀虫。主疥癣；并用于灭蚊；蝇；蚤；虱；臭虫；又为农用杀虫剂
吹风散,中药,为五味子科植物冷饭藤的藤或根。Kadsura oblongifolia Merr。全年均可采，剪下茎藤或挖取根部，洗净，切片，鲜用或晒干用。,入地射香;水灯盏;细风藤,甘;性温。归肺；胃；脾；肠；肾经,祛风除湿;行气止痛。主感冒;风湿痹痛;心胃气痛;痛经;跌打损伤
吹风藤,中药,为茶茱萸科植物小果微花藤的根及茎藤。Iodes vitiginea（Hance）Hemsl.［Erythrostaphyle vitiginea Hance；Iodes ovalis（nonB1.）Merr.ex Groff.］。夏、秋季采收，洗净切片晒干。,构芭;双飞蝴蝶;牛奶藤。,辛；微温。,祛风散寒；除湿通络。主风寒湿痹；肾炎；劳伤
垂果大蒜芥,中药,为十字花科植物垂果大蒜芥的全草和种子。Sisymbrium heteromallum C.A.Mey。5-6月果实成熟时采收，晒干。,参考原文,味甘；症；性凉。归肺经,止咳化痰；清热；解毒。主急慢性气管炎；百日咳；全草可治淋巴结核；外敷可治肉瘤
吹火筒,中药,为蔷薇科植物狭叶绣线菊的全株。Spiraea japonica L.f. var.acuminata Franch。全年均可采收，但以夏秋季花叶茂盛时采收为佳，洗净，晒干。,千颗米,微苦；平。归肝；脾经,清热解毒，活血调经，通利二便。主流感发热，月经不调，便秘腹胀，小便不利
垂丝海棠,中药,为蔷薇科植物垂丝海棠的花。Malus halliana Koehne。3-4月花盛开时采。,参考原文,味淡、苦、性平。归肝经,调经和血。主血崩
垂丝卫矛,中药,为卫矛科植物垂丝卫矛的根、根皮、及茎皮。Euonymus oxyphyllus Miq。夏、秋季采茎，剥皮鲜用或晒干。,球果卫矛;五棱子。,苦；辛；平。归心；大肠；肝经,祛风除湿；活血通经；利水解毒。主风湿痹痛；痢疾；泄泻；痛经；闭经；跌打骨折；脚气；水肿；阴囊湿痒；疮疡肿毒
垂丝卫矛果,中药,为卫矛科植物垂丝卫矛EuonymusoxyphyllusMiq.的果实。Euonymus oxyphyllus Miq。9月后果实成熟时采收，晒干。,参考原文,苦；寒。,清热解毒。主痢疾初起；腹痛后重
垂穗荛花,中药,为瑞香科植物细轴荛花的花、根或茎皮。Wikstroemia nutans Champ。花在开放时采收，阴干；根、茎皮夏、秋季采挖，洗净，切片晒干。,金腰带;了哥王;鸡断肠;雀儿麻;山棉皮;野发麻;野棉花;雀子麻;地棉麻。,辛；咸；温；有毒。,软坚散结；活血；止痛。主瘰疬初起；跌打损伤
吹云草,中药,为远志科植物齿果草的全草。Salomonia cantoniensis Lour。夏、秋季采收全草，洗净，鲜用或晒干。,吹魂草;公儿草;一碗泡;川风;过路蛇;小腻药;细黄药。,味微辛；性平。归心；肝经,解毒消肿；散瘀止痛。主痈肿疮疡；无名肿毒；喉痹；毒蛇咬伤；跌打损伤；风湿关节痛；牙痛
樗鸡,中药,为蜡蝉科动物樗鸡的成虫。Lycorma delicatula White。7-8月捕捉，捕后蒸死或烤死，晒干。,红娘子;灰花蛾,味苦；辛；性平；有毒。归肝经,活血通经；玫毒散结。主血瘀经闭；腰伤疼痛；阳痿；不孕瘰疬；癣疮；狂犬咬伤
楮茎,中药,为桑科植物构树的树条。Broussonetia papyrifera (L.)Vent.[Marus papyrifera L.]。春季采收枝条，晒干。,楮枝,,祛风；明目，利尿。主风疹；目赤肿痛；小便不利
莼,中药,为睡莲科植物莼菜的茎叶。Brasenia schreberi J.F.Gmel。5-7月采，洗净或沼泽地。,茆;屏风;水葵;水芹;露葵;丝莼;瑰莼;马蹄草;缺盆草;锦带;马粟草。,甘；寒。归肝；脾经,利水消肿；清热解毒。主湿热痢疾；黄疸；水肿；小便不利；热毒痈肿
椿白皮,中药,为楝科植物香椿的树皮或根皮。Toona sinensis（A.Juss.）Roem.［Cedrela sinensis A.Juss.］。全年均可采，干皮可从树上剥下，鲜用或晒干；根皮须先将树根挖出，刮去外面黑皮，以木捶轻捶之，使皮部与木质部分离，再行剥取，并宜仰面晒干，以免发霉发黑，亦可鲜用。,香椿皮;椿皮;春颠皮。,苦；涩；微寒。归大肠；胃经,清热燥湿；涩肠；止血；止带；杀虫。主泄泻；痢疾；肠风便血；崩漏；带下；蛔虫病；丝虫病；疮癣
春花胡枝子,中药,为豆科植物春花胡枝子的枝叶。Lespedeza dunnii Schindl。夏季采收，鲜用。,参考原文,苦；寒。归大肠经,清热解毒。主急性阑尾炎
春尖油,中药,为楝科植物香椿Toonasinensis（A.Juss.）Roem.树干流出的液汁。Toona sinensis（A.Juss.）Roem.［Cedrela sinensis A.Juss.］。春、夏季切割树干，流出液汁，晒干。,椿树油。,辛；苦；温。归肺经,润澡解毒；通窍。主齁病；手足皲裂；疔疮
椿树花,中药,为楝科植物香椿Toonasinensis（A.Juss.）Roem.的花。Toona sinensis（A.Juss.）Roem.［Cedrela sinensis A.Juss.］。5-6月采花，晒干。,椿花;椿芽树花;春尖花。,辛；苦；温。归肝；肺经,祛风除湿；行气止痛。主风湿痹痛；久咳；痔疮
唇香草,中药;维吾尔药,为唇形科植物唇香草的全株。Ziziphora clinopodioides Lam。夏季采割，切段，阴干。,小叶薄荷;山薄荷;苏则（维吾尔药名）,油辛；性凉。,宁心安神；利水清热。主心悸；失眠；水肿；感冒发热；目赤肿痛；疮疡肿毒
椿叶,中药,为楝科植物香椿Toonasinensis（A.Juss.）Roem.的叶。Toona sinensis（A.Juss.）Roem.［Cedrela sinensis A.Juss.］。春季采收，多鲜用。,椿木叶;春尖叶。,辛；苦；；平。归心；脾；大肠经,祛署化湿；解毒；杀虫。主暑湿伤中；恶心呕吐；食欲不振；泄泻；痢疾痈疽肿毒；疥疮；白秃疮
楮皮间白汁,中药,为桑科植物构树茎皮部的乳汁。Broussonetia papyrifera(L.) Vent.[Marus papyrifera L.]。春、秋季割开树皮，流出乳汁开后取下。,五金胶漆;楮树白汁;构胶;楮树汁;楮树浆,甘；性平。,利水；杀虫解毒。主水肿；疥癣；虫咬
出山虎,中药,为茜草科植物爱地草的全草。Geophila herbacea (L.) 0.Kuntze[G.reniformisD.Den]。春、夏季采收，鲜用或晒干。,边耳草,苦；辛；微寒。,消肿排脓；散瘀止痛。主痈疽肿毒；跌打伤痛；毒蛇咬伤
楮实,中药,为桑科植物构树的果实。Broussonetia papyrifera(L.)Vent[Marus papyrifera L.]。移栽4-5年，9月果实变戏时采摘，除去灰白色膜状宿萼及杂质，晒干。,楮实子;角树子;野杨梅子;构泡,甘；性寒。归肝；肾；脾经,滋肾；清肝明目；健脾利水。主肾；虚腰膝酸软；阳痿；止昏；目翳；水肿；尿水
楮树白皮,中药,为桑科植物构树的外皮内皮。Broussonetia papyrifera(L.)Vent[Marus papyrifera L.]。春、秋季剥取树皮，除去外皮，晒干。,楮树皮;楮白皮;楮皮;构皮,甘；性平。,利水，止血。主小便不利；水肿胀痛；便血；崩漏
楮树根,中药,为桑科植物构树的嫩根或根皮。Broussonetia papyrifera (L.)Vent.[Marus papyrifera L.]。春季挖嫩根，或秋季挖根，剥取根皮，鲜用或晒干。,纱纸树根；壳树根；构树根,甘；性微寒。,凉血散瘀；清热利湿。主咳嗽吐血；崩漏；水肿；跌打损伤
楮头红,中药,为野牡丹科植物楮头红的全草。Sarcopyamis nepalensis Wall。夏、秋季采收，鲜用或切碎晒干。,风樻斗草;卫环草,味苦；甘；性微寒。归肺；肝经,清热平肝；利湿解毒。主肺热咳嗽；头目眩晕；耳鸣；耳聋；日赤羞明；肝炎；风湿痹痛；跌打伤肿；蛇头疔；无名肿毒
樗叶,中药,为苦木科植物臭椿Ailanthusatissima（Mill.）Swingle的叶。Ailanthus atissima （Mill.）Swingle[Toxicodendron altissima Mill.]。春、夏季采收，鲜用或晒干。,樗木叶。,苦；凉。归肺经,清热燥湿；杀虫。主湿热滞下；泄泻；痢疾；湿疹；疮疥；疖肿
楮叶,中药,为桑科植物构树的叶。Broussonetia papyrifera (L.)Vent.[Marus papyrifera L.]。全年均可采收，鲜用或晒干。,参考原文,甘；性凉。,凉血止血；利尿解毒。主吐血；衄血；崩血；金疮出血；水肿；疝气；痢疾；毒疮
刺苞南蛇藤,中药,为卫矛科植物刺南蛇藤的根、茎。Celastrns flagellaris Rupr。春、秋季采收，洗净晒干。,爬山虎,辛；苦；平。,祛风除湿；活血止痛；解毒消肿。主风湿痹痛；四肢麻木；跌打损伤；闭经；痢疾；痈疽；毒蛇咬伤
刺苞南蛇藤果,中药,为卫矛科植物刺南蛇藤CelastrusflagellarisRupr.的果实。Calastrus flagellaris Rupr。秋后采收，晒干。,参考原文,苦；辛；平。,宁心安神；活络止痛；解毒消肿。主心悸失眠；筋骨疼痛；腰腿麻木；牙痛；疮疡肿毒
刺苞南蛇藤叶,中药,为卫矛科植物刺南蛇藤CelastrusflagellarisRupr.的叶。Celastrns flagellaris Rupr。春、夏季采收，鲜用或晒干。,参考原文,苦；平。,活血散瘀；清热解毒。主跌打损伤；疖肿；毒蛇咬伤
刺柄莲座蕨,中药,为观音座莲科植物刺柄观音座莲的根茎。Angiopteris muralis ching。秋、冬季采收，洗净，去须根与叶柄，晒干或鲜用。,刺柄观音座莲,味淡；涩；性凉。,清热利湿；痰止咳；解毒消肿。主泄泻；痢疾；肺热咳嗽；瘰疬；痄腮；痈疖；骨折；毒蛇咬伤
刺萆薢,中药,为百合科植物长托菝葜的根茎。Smilax ferox Wall.ex Kunth。秋、冬季及春季采挖，除去茎叶及须根，洗净，切片晒干。,红萆薢;美人扇;龙须叶,辛；苦；平。,祛风湿；利小便；解疮毒。主风湿痹痛；小便淋浊；疮疹瘙痒；臁疮
刺茶美登木,中药,为卫矛科植物广西刺茶的叶。Maytenus variabilis（Loes.）C.Y.Cheng f.inermis C.Y.Cheng et W.L.Sha。春、夏季采收，鲜用或晒干。,皮胡椒。,苦；辛；微寒。,解毒；燥湿；抗癌。主下肢溃疡；头癣；牛皮癣；肿瘤
刺齿凤尾蕨,中药,为凤尾蕨科植物刺齿凤尾蕨的全草。Pteris dispar Kunze。全年均可采收，鲜用或晒干。,半边双;半边旗,苦；涩；凉。归肝；大肠经,清热解毒；祛瘀凉血。主痢疾；泄泻；痄腮；风湿痹痛；跌打损伤；痈疮肿毒；毒蛇咬伤
刺萼悬钩子,中药,为蔷薇科植物刺萼悬钩子的根。Rubus alexeterium Focke。夏、秋季采挖，除去茎叶，洗净，切片，晒干。,黄琐梅;小红袍,淡、苦；平。归肝；肺；大肠经,清热利湿，活血调经。主痢疾，肠风下血，黄疸，肾炎水肿，筋骨疼痛，扭伤，月经不调，小儿百日咳，黄水疮
慈姑,中药,为泽泻科植物慈姑的球茎。1.Sagittaria trifolia L. var. sinensis(Sims) Makino [Sagittaria sagittifolia L. f. sinensis (sims) Makino;S.sinensis Sims;S.sagittifolia arct. Non L.;S.trifolia L. var. edulis(Sieb. Ex miq,藉姑;槎牙;茨菰;白地栗,味甘；微苦；微辛；性微寒。归肝；肺；脾；膀胱经,活血凉血；止咳通淋；散结解毒。主产后血闷；胎衣不下；带下；崩漏；衄血；呕血；咳嗽痰血；淋浊；疮肿；目赤肿痛；角膜白斑；瘰疬；睾丸炎；骨膜炎；毒蛇蛟伤
刺瓜米草,中药,为百合科植物小叶菝葜的根。Smilax microphylla C.H. Wright。全年均可采，洗净，切片晒干。,刺梭罗;乌鱼刺,苦辛；凉。,祛风；清热；利湿。主风湿热痹；小便赤涩；白带；疮疖
茨菇草,中药,为禾本科植物箭叶大油芒的全草。Spodiopogon sagittifolius Rendle。全年均可采收，洗净，鲜用或晒干。,催生草;灵芝草,味淡；性平。归肝经,调经；催产；行气。主月经过多；难产；胸闷；气胀
慈姑花,中药,泽泻科植物慈姑的花。1.Sagittaria trifolia L. var. sinensis(Sims) Makino [Sagittaria sagittifolia L. f. sinensis (sims) Makino;S.sinensis Sims;S.sagittifolia arct. Non L.;S.trifolia L. var. edulis(Sieb. Ex miq.),参考原文,味微苦；性寒。归肝；脾经,清热解毒；利湿。主疔肿；痔漏；湿热黄疸
刺果藤,中药,为梧桐科植物刺果藤的根、茎。Byttneria aspera Colebr。夏、秋季采收，洗净，鲜用或晒干。,大胶藤,味辛苦；辛；性微湿。归肝；肾经,祛风湿；强筋骨。主风湿痹痛；腰肌劳损；跌打骨折
刺果卫矛,中药,为卫矛科植物长刺卫矛的根。Euonymus wilosnii Sprague。秋后采收，洗净切片晒干。,扣子花;岩风;小梅花树。,辛；温。归脾经,祛风除湿；活血止痛；利水消肿。主风湿痹痛；劳伤；水肿
慈姑叶,中药,泽泻科植物慈姑或野慈姑的地上部分。1.Sagittaria trifolia L. var. sinensis(Sims) Makino [Sagittaria sagittifolia L. f. sinensis (sims) Makino;S.sinensis Sims;S.sagittifolia arct. Non L.;S.trifolia L. var. edulis(Sieb. E,剪刀草;密州剪刀草;水慈姑;慈姑苗,味苦；微辛；性寒。归心；脾经,清热解毒；凉血化瘀；利水消肿。主咽喉肿痛；黄疸；水肿；恶疮肿毒；丹毒；瘰疬；湿疹；蛇虫咬伤
刺槐花,中药,为豆科植物刺槐的花。Robinia pseudoacacia L。6-7月盛开时采收花序，摘下花，晾干。,刺槐;洋槐;胡藤。,味甘；性平。归肝经,止血。主咯血；大肠下血；吐血；崩漏
刺黄柏,中药,为小檗科植物密叶十大功劳、细梗十大功劳、滇刺黄柏和长阳十大功劳的根和茎。1.Mahonia ganpinensis(Levl)Fedde［M.comfusa Sprague］2.Mahonia gracilipes(Oliv.)Fedde3.Mahonia mairei Takeda4.Mahonia sheridaniana。夏、秋采挖，洗净，晒干。,老鼠刺;木黄连;刺黄芩;山黄芩;野黄芩。,苦；性寒。归肝；肾经,清热燥湿，泻火解毒。主湿热痢疾；腹泻；目赤肿痛；除；劳热骨蒸；咯血；头晕；风湿痹痛；痈肿疮疡
刺黄柏叶,中药,为小檗科植物黑果小檗的叶。Berberis heteropoda Schneid。春、夏季采收，洗净，晒干。,参考原文,,主肺结核
刺黄连,中药,为小檗科植物黄叶十大功劳、鄂西十大功劳和蒙自十大功劳的根和茎。1.Mahonia flavida Schneid.2.Mahonia decipiens Schneid.3.Mahonia hancockiana Takeda。四季均采，根：除去须根，洗净泥土，晒干茎：除去残叶、杂质，晒干。,参考原文,苦；寒。归肝；胃经,清热解毒；化痰止咳。主感冒发热；咽喉肿痛，肠炎，痢疾；黄疸；高血压；痨喇咯血；跌打损伤；牙痛
刺黄芩,中药,为小檗科植物大叶刺黄柏的全株。MahoniafargesiiTakeda。四季均可采收，洗净，晒干。,十大功劳;老鼠刺;刺黄连。,苦；寒。,清热；燥湿；解毒。主肺痨咳嗽咯血；黄疸；湿热腹泻；痢疾；目赤肿痛；湿疹
刺蒺藜,中药;维吾尔药,为蒺藜科植物蒺藜和大花疾藜的果实。1.Tribulus terrestris L.2.Tuibulus cistoides L。8-9月果实由绿色变成黄白色，大部分已成熟时，割取全株，晒几天，脱粒，再晒干。,茨;蒺藜;蒺藜子;旁通;屈人;止行;豺羽;升推;即藜;白蒺藜子;社蒺藜土蒺藜;白蒺藜;旱草;三角蒺藜;三角刺;八角刺;蒺骨子;野菱角;地菱;硬蒺黎;蒺黎蓇葖;蒺藜狗子;七里丹;陀罗刺;菱角刺;哈撒其《回回药方三十六卷》;海赛克;哈尔海赛克《拜地依药书》;欧胡日提坎（维吾尔药名）,味苦；辛；性平。归肝；肺；肾；心经,平肝；解郁；祛风明目。主头痛；眩晕；胸胁胀痛；乳房胀痛；乳闭不通；经闭；目赤翳障；风疹瘙痒；白癜风；疮疽；瘰疬
刺郎果,中药,为夹竹桃科植物假虎刺的根。Carissa spinarum L。全年均可采，洗净，切片，晒干。,老虎刺;锈花针;刺檀香;三颗针,苦；辛；性平。,清热解毒；消炎止痛。主黄疸型肝炎；胃痛；风湿关节痛；急性结膜炎；咽喉炎；牙周炎；淋巴结炎
刺藜,中药,为藜科植物刺藜的全草。Herba Chenopodii Aristati。夏、秋季收割全草，除去杂质，洗净晒干。,红小扫帚苗;铁扫帚苗;野鸡冠子草,淡；性平。,活血；调经；祛风止痒。主月经过多；痛经；闭经；过敏性皮炎；等麻疹
刺梨,中药,为蔷薇科植物缫丝花和单瓣缫丝花的果实。1.Rosa roxburghii Tratt.2..Rosa roxburghii Tratt.f.normalis Rehd. Et Wils。秋、冬季采果实，晒干。,莰梨;文光果;团糖二;油刺果,甘；酸涩。归脾；肾；胃经,健胃；消食；止泻。主食积饱胀；肠炎腹泻
刺李,中药,为虎耳草科植物大刺茶藨的果实。Ribes alpestre Wall.ex Decne。8-9月采将成熟果实，鲜用，或用白糖制成果脯。,茶茹。,酸；平。归肝经,健胃。主萎缩性胃炎；胆汁缺乏病
刺梨根,中药;苗药,为蔷薇科植物缫丝花和单瓣缫丝花的根。1.Rosa roxburghii Tratt.2..Rosa roxburghii Tratt.f.normalis Rehd. Et Wils。7-8月采。,茨藜子根;茨藜根;ghabjongxdetbeltok嘎龚豆不脱（贵州黔东南）;gherbjougxzendviesgiangs官龚整烟杠（贵州黔南）;jangszidbolhob江枳薄喝（贵州毕节）;龚笑多（苗药名）,甘酸；平；无毒。归脾；胃；肝；肾经,健胃消食，止痛，收涩，止血。主胃脘胀满疼痛，牙痛，喉痛，久咳，泻痢，遗精，带下，崩漏，痔疮
刺梨叶,中药,为蔷薇科植物缫丝花和单瓣缫丝花的叶。1.Rosa roxburghii Tratt.2..Rosa roxburghii Tratt.f.normalis Rehd. Et Wils。夏、秋季采叶，鲜用呀晒干。,茨藜叶,酸、涩；寒。归肺经,清热解暑，解毒疗疮，止血。主痔疮，痈肿，暑热倦怠，外伤出血
刺龙牙,中药,为五加科植物辽东楤木的根皮和树皮。Aralia elata(Miq.)Seem.[Dimor-phanthus elatus Miq.;Aralia mandshuricaMaxim.]。春、秋季挖取根部，剥取根皮或剥取树皮，除去泥土杂质，切段或片，鲜用或晒干。,刺老牙;鹊不踏;刺老鸦;虎阳刺,味辛；微苦；甘；性平。,益气补肾；祛风利湿；活血止痛。主气虚乏力；肾虚阳痿；胃脘痛；消渴；失眠多梦；风湿骨痹；腰膝无力；跌打损伤；骨折；膨胀；水肿；脱肛；疥癣
刺玫果,中药,为蔷薇科植物山刺玫、光叶山刺玫的果实。Rosa davurica Pall。果实在将成熟时摘下，立刻晒干，干后除去花萼，或把新鲜果实切成两半，除去果核，再行干燥。,刺莓果;刺木果,酸；苦；温。归肝；脾；胃；膀胱经,健脾消食；活血调经；敛肺止咳。主消化不良；食欲不振；脘腹胀痛；腹泻；月经不调；痛经；动脉粥样硬化；肺结咳嗽
刺玫花,中药,为蔷薇科植物山刺玫的花。Rosa davurica Pall。6-7月花将开放时采摘，晾干或晒干。,参考原文,酸；甘；平。归肝；脾经,理气和胃；止咳。主月经不调，痛经，崩漏，吐血，肋间神经痛，肺痨咳嗽
刺蜜,中药,为豆科植物骆驼刺AlhagipseudalhagiDesv.叶中分泌液凝结而成的糖粒。Alhagi pseudalhagi Desv。夏季有糖粒时，在植株下铺布，敲打植株，糖颗粒即落下，收集糖粒除去杂质。,羊刺蜜;草蜜;给勃罗;刺糖;骆驼刺糖。,甘；酸；平。归心；肺；脾；小肠；肾经,收敛涩肠；止痛。主痢疾；腹泻；脘腹胀痛；骨蒸烦渴；头痛；牙痛
莿（木冬）,中药,为大风子科植物莿冬的全株。Scolopia chinensis （ Lour） Clos.[Phoberos chinensis Lour.]。秋季采收全株，去净杂质和泥沙；叶片鲜用或直接晒干；根及茎切片，晒干。,参考原文,味苦；涩；性凉。,活血祛瘀；消肿止痛。主跌打损伤；骨折；痈肿；乳汗不通；风湿骨痛
刺葡萄根,中药,为葡萄科植物刺葡萄的根。Vitis davidii（Roman.）Foex.［Spinovitisdavidii Roman.;Vitisarmata Dielset Gilg］。秋、冬季采挖，洗净，切片，鲜用或晒干。,参考原文,甘；微苦；平；无毒。,散瘀消积；舒筋止痛。主吐血；腹胀症积；关节肿痛；筋骨伤痛
刺楸茎,中药,为五加科植物刺楸的茎枝。Kalopanax septemlobus (Thunb.) Koidz。全年均可采收，洗净，切片，鲜用或晒干。,参考原文,味辛；性平。,祛风除湿；活血止痛。主风湿痹痛；胃脘痛
刺楸树根,中药,为五加科植物刺楸的根或根皮。Kalopanax septemlobus(Thunb.) Koidz。多于夏末秋初采挖，洗净，切片或剥取根皮切片，鲜用或晒干。,刺根白皮;鸟不宿根皮;钉木树根;刺五加;刺楸根,味苦；微辛；性平。,凉血散瘀；祛风除湿；解毒。主肠风下血；风湿热痹；跌打损伤；骨折；财身浮肿；疮疡肿毒；瘰疬；痔疮
刺楸树皮,中药,为五加科植物刺楸的树皮。Kalopanax septemlobus(Thunb.) Koidz.[Acer septemlobum Thunb.; K.pictum Nakai]。栽后15-20年，胸围达20cm以上，才能采伐。,丁桐皮;钉皮;刺楸皮;山上虎;狼牙棒;海桐皮;野海桐皮;刺五加,味辛；苦；性凉。,祛风除湿；活血止痛；杀虫止痒。主风湿痹痛；腰膝痛；痈疽；疮癣
刺楸树叶,中药,为五加科植物刺祛的叶。Kalopanax septemlobus (Thunb.) Koidz。夏、秋季采收，多鲜用。,鸟不宿叶;刺楸叶,味辛；微甘；性平。,解毒消肿；祛风止痒。主疮疡肿痛或溃破；风疹瘙痒；风湿痛；跌打肿痛
刺人参,中药,为五加科植物刺参的根及茎。Oplopanax elatus Nakai[Echinopanax elatum Nakai ]。夏、秋季采茎或挖取根部，洗净，切片，晒干。,东北刺人参,味甘；微苦；性温。,补气助阳；止咳；通络。主气虚体弱；神疲乏力；畏寒肢冷；阳痿；虚咳久嗽；风寒湿痹；糖尿病；高血压病
刺山茶根皮,中药,为卫矛科植物刺茶Maytenusvariabilis（Loes.）C.Y.Cheng的根皮。Maytenus variabilis（Loes.）C.Y.Cheng［Gymnosporia variablis Loes.］。四季均可采，挖取根部，剥取外皮，洗净，晒干。,参考原文,辛；苦；温。,祛风除湿；散瘀消肿。主风湿骨痛；跌打损伤
刺山茶果,中药,为卫矛科植物刺茶的果实。Maytenus variabilis（Loes.）C.Y.Cheng［Gymnosporia variablis Loes.］。8-9月，果熟时采集，洗净，晒干。,参考原文,涩；酸；温。,和脾止痢。主痢疾
刺沙蓬,中药,为藜科植物刺沙蓬的全草。Salsola ruthenica Iljin[S.kali auct.Non L.;S．Peslifer．Non A.Nelson。夏季开花时拔取全草，抖净泥土，切段晒干。,猪毛菜;大翅猪毛菜;扎蓬棵;风滚草,苦；NTG凉。归肝经,平肝降压。主高血压病；头痛；眩晕
刺通草,中药;傣药,为五加科植物刺通草的叶。Trevesia palmata (Roxb. ) vis.[Gasto- nia palmata Roxb.]。全年均可采；晒干。,党楠;裂叶木通;棁木;挡凹;天罗伞;档凹（傣药名）,味微苦；性平。,化瘀止痛。主跌打损伤；创伤；腰痛
刺桐叶,中药,为豆科植物刺桐ErythrinavariegataL.及乔木刺桐ErythrinaarborescensRoxb.的叶。1.Erythrina variegata L.[E.indica Lam.]2.Erythrina arborescens Roxb.[E.tienensis Wang et Tang]。秋季采收，晒干。,鹦哥叶,苦；平。归胃；肠经,消积驱蛔。主小儿疳积；蛔虫症
慈乌,中药,为鸦科动物寒鸦的全体或肉。Corvus monedula (Linnaeus)。四季均可捕捉，捕杀后，除去羽毛及内脏，鲜用。,乌;孝鸟;慈鸦;哺公;小山老鸹;咵老鸦;麦鸦,味酸；咸；性平。归肺；肾经,滋阴潜阳。主虚劳咳嗽；骨蒸烦热；体弱消瘦
慈乌胆,中药,为鸦科动物寒鸦的胆。Corvus monedula (Linnaeus)。四季均可捕捉，捕杀后，剖开内脏，取出胆囊，冼净，晒干。,乌鸦胆,味苦；性凉。归肝经,明目解毒。主烂弦风眼；翳障；藤黄中毒
刺血红,中药,为爵床科植物花叶假杜鹃的全株。BarlerialupulinaLindl.采收和储藏：全年可采，切段，鲜用或晒干。Barleria lupulina Lindl。全年可采，切段，鲜用或晒干。,七星剑;血路草,味辛；苦；性平。,通经络；续筋骨；解毒消肿。主跌打肿痛；骨折；外伤出血；痈肿疮毒；毒蛇咬伤
刺叶楤木,中药,为五加科植物长刺楤木的根。Aralia spinifolia Merr。夏、秋季采挖，除去杂质，洗净，鲜用划晒干。,鸟不企;鸡云木;鹰不扒;雷公木,味苦；性平。,祛风除湿；活血止血。主风湿骨痛；头昏头痛；跌打损伤；骨折；吐血；崩漏；蛇咬伤。
刺叶苏铁,中药,为苏铁科植物华南苏铁的根或种子。,参考原文,甘；淡；性平。,平肝祛风；消肿敛疮。主高血压病；风湿痹痛；无名肿毒；皮肤湿疹
刺榆皮,中药,为榆科植物刺榆的树皮、根皮。Hemiptelea davidii (Hance)Planch.［Planera davidii Hance；Zelkova davidii Bean］。全年均可采收，刮去外层粗皮，鲜用。,参考原文,苦；辛；性微寒。,解毒消肿。主疮痈肿毒；毒蛇咬伤
刺榆叶,中药,为榆科植物刺榆的叶。Hemiptelea davidii (Hance)Planch.［Planera davidii Hance；Zelkova davidii Bean］。春、夏季采摘，鲜用或晒干。,参考原文,淡；性微寒。,利水消肿；解毒。主水肿；疮疡肿毒；毒蛇咬伤
慈竹根,中药,为禾本科植物慈竹的根。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。全年均可挖，洗净，鲜用或晒干。,参考原文,,下乳。主乳汁不通
慈竹花,中药,禾本科植物慈竹的花。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。7-9月采民上，晾干或鲜用。,参考原文,,止血。主痨伤吐血
